Gene	NGr1	NGr2	NGr3	349r1	349r2	349r3
gene-ECD_01221	2434	1544	1601	1711	1352	2183
gene-ECD_01222	845	808	740	741	801	1079
gene-ECD_01223	1763	1403	1465	1375	1679	1978
gene-ECD_01224	800	771	684	745	828	990
gene-ECD_01225	692	445	725	745	564	699
gene-ECD_01226	300	167	167	231	269	217
gene-ECD_01227	41	68	35	47	48	78
gene-ECD_01228	237	269	207	185	234	359
gene-ECD_01229	264	242	250	229	257	354
gene-ECD_01230	351	158	255	226	312	267
gene-ECD_01231	26	15	16	15	7	13
gene-ECD_01232	11	6	4	1	8	3
gene-ECD_01233	0	3	1	0	0	0
gene-ECD_01234	1325	1521	937	977	964	1185
gene-ECD_01235	1968	2516	1477	1523	1565	1957
gene-ECD_01236	943	1370	743	679	957	964
gene-ECD_01237	236	1189	181	206	218	273
gene-ECD_01238	142	1052	116	123	136	186
gene-ECD_01239	9	11	7	18	5	13
gene-ECD_01240	829	945	734	766	948	1105
gene-ECD_01241	2652	2146	2212	2081	2902	3089
gene-ECD_01243	5	4	16	7	11	16
gene-ECD_01244	2	2	3	3	5	2
gene-ECD_01245	927	1058	748	789	767	1222
gene-ECD_01246	1266	891	868	1040	1286	1280
gene-ECD_01247	2005	1252	1453	1397	1690	1721
gene-ECD_01248	2626	2654	2455	2599	2643	3525
gene-ECD_01249	531	510	618	700	509	710
gene-ECD_01250	5530	4017	3754	4237	4306	4985
gene-ECD_01251	2886	2252	2375	2281	2432	2759
gene-ECD_01253	14886	10705	12452	9873	12413	12738
gene-ECD_01254	4384	4139	3520	3558	3646	6023
gene-ECD_01255	1009	993	805	972	930	1370
gene-ECD_01256	564	563	539	611	585	747
gene-ECD_01257	1281	1378	1073	1116	1413	1839
gene-ECD_01258	437	416	312	365	370	569
gene-ECD_01259	155	204	122	142	134	235
gene-ECD_01260	140	58	85	110	91	92
gene-ECD_01261	1201	1127	959	915	1422	1302
gene-ECD_01262	553	432	375	471	442	585
gene-ECD_01263	2113	2022	1637	1644	1972	2101
gene-ECD_01264	386	329	255	314	346	362
gene-ECD_01265	12686	7858	8384	9468	7811	12261
gene-ECD_01266	192	147	155	187	183	249
gene-ECD_01267	798	496	516	649	587	872
gene-ECD_01268	954	820	633	726	656	1145
gene-ECD_01269	271	226	185	203	178	244
gene-ECD_01270	400	317	314	353	347	401
gene-ECD_01271	976	987	886	760	990	1013
gene-ECD_01272	46	39	39	36	46	44
gene-ECD_01273	393	226	370	277	335	274
gene-ECD_01274	1003	395	765	552	790	549
gene-ECD_01275	327	224	360	226	276	233
gene-ECD_01276	886	525	750	613	728	717
gene-ECD_01277	1132	488	797	697	693	569
gene-ECD_01278	631	330	493	431	495	322
gene-ECD_01279	734	432	475	523	474	504
gene-ECD_01280	853	594	710	695	741	759
gene-ECD_01281	1233	834	1040	1124	1073	1096
gene-ECD_01282	107	72	106	125	111	103
gene-ECD_01283	145	108	116	146	151	150
gene-ECD_01284	131	46	80	89	103	110
gene-ECD_01285	845	1057	1147	1031	1253	1191
gene-ECD_01286	16	20	33	14	32	19
gene-ECD_01287	17	9	14	17	19	12
gene-ECD_01288	14	6	5	10	10	12
gene-ECD_01289	16	11	14	23	17	13
gene-ECD_01290	45	36	33	59	58	50
gene-ECD_01291	26	37	35	36	51	45
gene-ECD_01292	79	68	67	61	77	100
gene-ECD_01293	80	93	106	86	113	109
gene-ECD_01294	21	12	14	8	13	19
gene-ECD_01295	23	12	18	24	14	24
gene-ECD_01296	6	1	9	2	2	3
gene-ECD_01297	78	83	68	55	96	101
gene-ECD_01298	594	311	339	473	454	425
gene-ECD_01299	643	297	348	507	402	400
gene-ECD_01300	4237	3117	3125	3200	3666	3590
gene-ECD_01301	11518	7811	10423	9571	9746	9725
gene-ECD_01302	1394	1557	1314	1323	1605	2029
gene-ECD_01303	653	653	659	578	704	897
gene-ECD_01305	369	282	319	313	348	370
gene-ECD_01306	72	69	79	83	103	91
gene-ECD_01307	891	515	740	639	1194	814
gene-ECD_01308	206	244	222	195	288	286
gene-ECD_01309	902	415	850	961	756	754
gene-ECD_01310	17389	9645	13894	13318	17223	13013
gene-ECD_01312	399	482	375	330	524	549
gene-ECD_01313	1031	1288	850	980	1198	1685
gene-ECD_01314	4551	3666	3370	4203	3848	4956
gene-ECD_01315	5348	3685	3744	4601	4392	5172
gene-ECD_01316	349	293	325	281	451	356
gene-ECD_01317	233	176	212	184	224	237
gene-ECD_01318	321	258	286	271	326	341
gene-ECD_01319	1283	1012	1153	1007	1325	1352
gene-ECD_01320	322	449	278	319	335	464
gene-ECD_01321	506	515	472	505	488	683
gene-ECD_01322	39	46	25	35	30	43
gene-ECD_01323	0	1	0	0	0	1
gene-ECD_01324	4	1	0	0	0	1
gene-ECD_01325	1	0	0	1	1	0
gene-ECD_01326	18	12	15	26	10	15
gene-ECD_01328	1	0	0	0	0	0
gene-ECD_01329	0	0	0	1	0	0
gene-ECD_01330	1	0	0	0	0	0
gene-ECD_01331	43	27	54	30	35	40
gene-ECD_01332	19	9	16	8	5	11
gene-ECD_01333	6	8	1	1	5	5
gene-ECD_01334	0	0	0	0	1	0
gene-ECD_01335	3	6	4	1	4	5
gene-ECD_01336	197	195	238	206	186	202
gene-ECD_01337	0	4	4	3	1	3
gene-ECD_01338	3	1	6	2	2	4
gene-ECD_01339	728	651	501	599	625	838
gene-ECD_01340	12	15	5	13	9	20
gene-ECD_01342	3	7	5	4	5	4
gene-ECD_01343	26	14	15	16	17	20
gene-ECD_01344	17	13	10	9	18	11
gene-ECD_01345	53	87	26	44	77	84
gene-ECD_01346	387	636	243	400	458	809
gene-ECD_01347	813	315	1024	782	1110	462
gene-ECD_01348	22	17	13	10	18	28
gene-ECD_01349	9255	10215	8383	6914	9014	10654
gene-ECD_01350	320	537	377	351	342	870
gene-ECD_01351	1274	1527	1245	1442	1160	2716
gene-ECD_01352	9470	8251	8743	9352	7629	15801
gene-ECD_01353	1228	981	1032	1006	1060	1105
gene-ECD_01354	15	23	17	24	21	33
gene-ECD_01355	325	465	253	369	315	594
gene-ECD_01356	282	146	273	160	358	216
gene-ECD_01357	210	178	208	157	203	220
gene-ECD_01358	110	117	103	104	142	176
gene-ECD_01359	1	0	0	1	1	2
gene-ECD_01360	0	0	0	0	1	0
gene-ECD_01361	58	69	57	52	70	87
gene-ECD_01362	35	46	33	32	41	46
gene-ECD_01363	1	1	3	1	0	2
gene-ECD_01364	9	4	1	3	4	7
gene-ECD_01365	81	92	85	79	102	94
gene-ECD_01366	127	118	123	109	120	164
gene-ECD_01367	1889	1239	1454	691	694	838
gene-ECD_01368	5440	5059	4302	4384	4639	5724
gene-ECD_01369	652	486	512	523	625	586
gene-ECD_01370	2309	965	2213	1215	2353	1482
gene-ECD_01371	294	181	271	190	324	310
gene-ECD_01372	1	0	2	1	0	0
gene-ECD_01373	1	1	0	1	3	2
gene-ECD_01374	1150	926	1006	1139	875	1282
gene-ECD_01375	672	404	445	637	472	654
gene-ECD_01376	483	375	477	396	505	393
gene-ECD_01377	0	0	0	0	0	0
gene-ECD_01378	290	215	285	222	357	320
gene-ECD_01379	1362	634	1242	810	1486	829
gene-ECD_01380	132	108	133	110	189	158
gene-ECD_01381	1155	813	974	887	1280	1111
gene-ECD_01382	0	0	1	0	4	1
gene-ECD_01383	1259	657	1275	1504	1289	1187
gene-ECD_01384	2965	1425	2399	2743	2313	2049
gene-ECD_01385	874	385	657	733	742	786
gene-ECD_01386	273	290	215	225	269	382
gene-ECD_01387	615	625	552	518	592	721
gene-ECD_01388	949	988	926	827	973	1387
gene-ECD_01390	904	748	686	756	975	931
gene-ECD_01391	329	274	304	252	396	349
gene-ECD_01392	189	185	180	154	205	259
gene-ECD_01393	984	1134	924	853	1016	1383
gene-ECD_01394	42	50	33	44	44	59
gene-ECD_01395	668	644	577	597	721	707
gene-ECD_01396	716	738	669	617	893	963
gene-ECD_01397	131	72	105	74	141	105
gene-ECD_01398	41	35	28	22	57	38
gene-ECD_01399	32	25	37	32	43	37
gene-ECD_01400	64	42	61	61	57	82
gene-ECD_01401	230	169	254	232	242	239
gene-ECD_01402	93	106	82	67	75	133
gene-ECD_01403	284	199	233	261	272	343
gene-ECD_01404	415	343	341	287	398	493
gene-ECD_01405	331	375	343	321	382	527
gene-ECD_01406	851	695	949	765	967	1021
gene-ECD_01407	65	66	63	63	63	84
gene-ECD_01408	2197	1924	1755	1271	1579	1662
gene-ECD_01409	655	251	287	502	688	315
gene-ECD_01410	205	166	141	192	169	182
gene-ECD_01411	25	13	12	12	13	19
gene-ECD_01412	3	0	0	1	0	1
gene-ECD_01413	5	8	1	0	2	4
gene-ECD_01414	15	24	10	10	12	16
gene-ECD_01415	10	8	5	10	17	12
gene-ECD_01416	13	12	6	7	11	15
gene-ECD_01417	0	0	0	0	0	2
gene-ECD_01418	4	1	1	0	3	1
gene-ECD_01419	12	11	9	17	15	30
gene-ECD_01420	80	97	110	122	143	111
gene-ECD_01421	219	232	196	174	225	258
gene-ECD_01423	74	56	59	58	76	54
gene-ECD_01424	65	49	58	66	69	70
gene-ECD_01425	219	154	136	167	177	192
gene-ECD_01426	563	444	462	389	501	488
gene-ECD_01427	36	32	27	24	34	31
gene-ECD_01428	4	3	1	2	0	1
gene-ECD_01429	4	0	3	2	1	6
gene-ECD_01430	0	0	0	1	0	1
gene-ECD_01431	129	68	65	119	83	118
gene-ECD_01432	112	114	101	79	97	118
gene-ECD_01433	63	53	51	51	55	56
gene-ECD_01434	281	268	249	217	244	321
gene-ECD_01435	552	406	475	568	565	584
gene-ECD_01436	324	321	270	269	298	402
gene-ECD_01437	5873	4703	4261	4584	4199	5890
gene-ECD_01438	206	163	291	289	228	285
gene-ECD_01439	2	2	0	0	0	2
gene-ECD_01440	251	196	319	249	255	235
gene-ECD_01441	238	197	224	184	260	223
gene-ECD_01442	83	86	87	78	92	119
gene-ECD_01443	95	120	88	81	89	122
gene-ECD_01444	58	64	50	53	69	66
gene-ECD_01445	279	242	296	288	303	291
gene-ECD_01446	50	50	49	35	74	51
gene-ECD_01447	100	96	101	87	102	145
gene-ECD_01448	42	25	33	40	39	41
gene-ECD_01449	206	195	190	157	220	211
gene-ECD_01450	174	99	143	127	176	155
gene-ECD_01451	51	40	68	67	64	54
gene-ECD_01452	429	133	185	300	225	161
gene-ECD_01453	223	76	79	171	143	98
gene-ECD_01454	13	13	7	7	13	8
gene-ECD_01455	246	271	243	203	808	409
gene-ECD_01456	3558	3312	3613	3011	7846	4267
gene-ECD_01457	1	2	2	2	0	3
gene-ECD_01458	0	0	0	0	0	0
gene-ECD_01459	280	160	235	246	193	232
gene-ECD_01460	7	3	7	10	0	6
gene-ECD_01461	1	2	2	0	5	4
gene-ECD_01462	0	0	1	1	3	4
gene-ECD_01463	1	2	0	8	4	2
gene-ECD_01468	57	41	48	44	42	25
gene-ECD_01469	1640	667	1101	1117	1383	954
gene-ECD_01470	194	78	120	161	152	103
gene-ECD_01472	44	44	52	21	54	56
gene-ECD_01473	51	54	48	35	49	72
gene-ECD_01474	75	66	68	67	58	94
gene-ECD_01475	47	45	52	41	46	52
gene-ECD_01476	232	165	168	190	205	181
gene-ECD_01477	142	128	87	116	116	174
gene-ECD_01478	1833	689	1412	224	245	328
gene-ECD_01479	215	233	135	155	198	260
gene-ECD_01480	147	168	146	113	186	199
gene-ECD_01481	1309	1230	1236	888	1371	1333
gene-ECD_01482	7075	5582	7075	4749	6407	6417
gene-ECD_01483	114	90	102	75	110	79
gene-ECD_01484	14	29	14	11	15	26
gene-ECD_01485	403	382	260	403	216	632
gene-ECD_01486	1037	827	808	1000	888	1302
gene-ECD_01487	1935	1284	1717	1818	1514	1701
gene-ECD_01488	374	275	328	428	300	348
gene-ECD_01489	524	644	552	149	156	367
gene-ECD_01490	2625	2157	2346	1068	1116	1592
gene-ECD_01491	310	275	345	148	173	162
gene-ECD_01492	542	403	442	433	444	663
gene-ECD_01493	224	161	166	150	209	200
gene-ECD_01494	76	44	58	58	69	104
gene-ECD_01495	22	12	24	24	21	25
gene-ECD_01496	53	57	39	44	44	48
gene-ECD_01497	4881	2544	2981	3536	3353	3943
gene-ECD_01498	7465	5917	6266	6030	7544	8066
gene-ECD_01499	1669	2313	1557	1647	1944	2821
gene-ECD_01500	55	118	64	51	71	119
gene-ECD_01501	217	171	178	168	203	212
gene-ECD_01502	8	12	8	9	14	14
gene-ECD_01503	51	82	34	54	53	96
gene-ECD_01504	7	18	7	11	21	18
gene-ECD_01505	14	20	7	17	12	23
gene-ECD_01506	23	18	22	23	15	25
gene-ECD_01507	1	1	2	3	1	10
gene-ECD_01508	23	16	15	19	17	25
gene-ECD_01524	2	1	1	0	0	5
gene-ECD_01525	1	0	0	8	2	2
gene-ECD_01527	81	44	51	61	62	75
gene-ECD_01528	94	112	88	73	70	185
gene-ECD_01529	32	61	27	26	24	71
gene-ECD_01530	12	7	4	5	7	13
gene-ECD_01531	3	6	0	5	6	3
gene-ECD_01532	3956	7001	9272	3644	3662	3335
gene-ECD_01533	11	7	5	9	9	9
gene-ECD_01535	92	85	74	86	77	124
gene-ECD_01536	96	61	80	95	77	115
gene-ECD_01537	19	16	16	11	8	21
gene-ECD_01538	4	8	1	5	5	5
gene-ECD_01539	451	595	485	413	553	659
gene-ECD_01540	8	18	7	13	19	32
gene-ECD_01541	408	308	402	352	349	289
gene-ECD_01542	37	16	8	28	24	24
gene-ECD_01543	0	0	0	0	0	0
gene-ECD_01544	3	0	1	0	1	0
gene-ECD_01545	1	2	3	0	0	1
gene-ECD_01546	0	0	0	0	0	1
gene-ECD_01549	101	77	94	80	88	75
gene-ECD_01550	104	109	104	98	109	113
gene-ECD_01551	18	30	24	24	22	22
gene-ECD_01552	692	637	614	681	657	791
gene-ECD_01553	1050	879	925	1010	935	1102
gene-ECD_01554	449	422	398	382	404	522
gene-ECD_01555	190	142	184	179	229	167
gene-ECD_01556	722	326	399	499	483	547
gene-ECD_01557	2494	1867	2186	2081	2121	2364
gene-ECD_01558	458	345	384	379	443	415
gene-ECD_01559	754	609	593	590	626	797
gene-ECD_01560	589	576	530	520	560	724
gene-ECD_01561	170	230	182	184	207	321
gene-ECD_01562	847	1067	803	838	1058	1800
gene-ECD_01563	3233	5038	2667	3343	3440	7430
gene-ECD_01564	174	150	169	140	198	187
gene-ECD_01565	1095	775	742	865	729	938
gene-ECD_01566	29	42	44	52	38	42
gene-ECD_01567	631	494	637	576	626	660
gene-ECD_01568	134	84	96	128	131	86
gene-ECD_01569	25	29	18	38	39	47
gene-ECD_01570	173	140	114	136	150	215
gene-ECD_01571	6867	3437	4262	4851	4051	5370
gene-ECD_01572	7398	3889	5018	5703	5197	5931
gene-ECD_01573	2946	2319	2362	2417	2529	3240
gene-ECD_01574	115	157	107	111	117	199
gene-ECD_01575	313	268	255	250	267	345
gene-ECD_01576	100	90	98	99	114	98
gene-ECD_01577	229	286	260	237	328	352
gene-ECD_01578	643	668	512	559	604	719
gene-ECD_01579	950	643	731	629	784	759
gene-ECD_01580	3778	2215	3238	2446	3603	3059
gene-ECD_01581	11722	6063	10015	8377	11209	7732
gene-ECD_01582	4532	4355	4000	3925	4123	5355
gene-ECD_01583	8028	6805	5839	6149	6472	9485
gene-ECD_01584	1055	812	1582	27	36	48
gene-ECD_01585	3949	2341	4460	52	64	53
gene-ECD_01586	20716	13767	23762	150	460	184
gene-ECD_01587	1808	1546	1894	1663	1992	1717
gene-ECD_01588	5601	2432	4138	3634	5148	3861
gene-ECD_01589	852	614	723	757	836	792
gene-ECD_01590	989	987	1016	861	1407	1325
gene-ECD_01591	934	666	731	643	993	865
gene-ECD_01592	3730	2705	2637	2617	2370	3791
gene-ECD_01593	1980	1663	1694	1496	1732	2359
gene-ECD_01594	11	14	8	6	6	14
gene-ECD_01595	30	57	21	31	54	60
gene-ECD_01596	67	78	51	63	88	100
gene-ECD_01597	106	117	79	88	108	129
gene-ECD_01598	115	138	83	79	113	122
gene-ECD_01599	425	553	313	365	411	496
gene-ECD_01600	243	168	135	174	155	243
gene-ECD_01601	183	94	108	156	92	130
gene-ECD_01602	286	102	136	230	140	156
gene-ECD_01603	251	106	152	191	136	177
gene-ECD_01604	1148	1004	875	1013	810	1484
gene-ECD_01605	5205	3230	4483	3659	4931	4539
gene-ECD_01606	2296	1913	1844	1704	2104	2213
gene-ECD_01607	7497	5806	5520	5876	6419	8089
gene-ECD_01608	1438	1626	1231	1385	1424	2058
gene-ECD_01609	157	149	121	125	187	171
gene-ECD_01610	1477	1234	1362	1236	1779	1731
gene-ECD_01611	11570	7471	10168	10969	8966	12207
gene-ECD_01612	981	910	805	1129	1045	1507
gene-ECD_01613	59	52	43	57	54	83
gene-ECD_01614	493	559	412	475	563	803
gene-ECD_01615	753	890	751	713	905	1245
gene-ECD_01616	1184	1146	1099	999	1569	1342
gene-ECD_01617	3316	2839	3028	2567	3895	3816
gene-ECD_01618	47	38	61	60	48	74
gene-ECD_01619	106	97	98	79	135	118
gene-ECD_01620	966	750	840	743	821	891
gene-ECD_01621	1784	2101	1889	1654	1648	2382
gene-ECD_01622	437	509	364	435	431	597
gene-ECD_01623	2556	2223	1995	2025	2300	2877
gene-ECD_01624	5581	4512	4709	5019	4664	5328
gene-ECD_01625	610	548	519	498	820	651
gene-ECD_01626	59824	47052	55487	42634	60288	57834
gene-ECD_01627	537	638	435	531	419	1048
gene-ECD_01628	14	9	9	10	10	20
gene-ECD_01629	782	687	599	648	684	824
gene-ECD_01630	322	316	290	295	316	379
gene-ECD_01631	308	444	253	275	263	579
gene-ECD_01632	29222	21880	25894	23123	32761	29342
gene-ECD_01633	1990	1571	1910	1815	1870	2242
gene-ECD_01634	1136	1060	979	999	979	1323
gene-ECD_01635	1861	1443	1607	1680	1593	2257
gene-ECD_01636	3029	2892	4033	3747	3345	3617
gene-ECD_01637	362	308	331	283	416	425
gene-ECD_01638	104	169	109	109	142	213
gene-ECD_01639	80	110	81	102	100	90
gene-ECD_01640	56	64	51	48	84	75
gene-ECD_01641	72	52	67	56	61	81
gene-ECD_01642	56	67	65	49	54	74
gene-ECD_01643	2	5	4	2	4	3
gene-ECD_01644	6	4	3	5	3	7
gene-ECD_01645	10804	9242	7995	8657	7571	13443
gene-ECD_01646	16615	10435	18520	21117	15203	13853
gene-ECD_01647	2208	1594	2271	1717	2390	2301
gene-ECD_01648	248	182	169	213	286	252
gene-ECD_01649	1535	1118	1105	1244	1842	1404
gene-ECD_01650	1419	934	984	1103	1574	1146
gene-ECD_01651	661	399	414	517	752	621
gene-ECD_01652	825	465	528	571	759	705
gene-ECD_01654	390	389	302	269	317	560
gene-ECD_01655	241	177	172	234	192	266
gene-ECD_01656	5199	5786	4599	4551	5121	6686
gene-ECD_01657	771	714	672	667	675	908
gene-ECD_01658	4	3	4	3	5	7
gene-ECD_01660	10	6	6	9	5	5
gene-ECD_01661	53	27	48	36	50	58
gene-ECD_01662	968	890	1016	856	992	1039
gene-ECD_01663	31	32	24	20	22	39
gene-ECD_01664	58	58	42	54	51	53
gene-ECD_01665	40	30	31	44	53	51
gene-ECD_01666	85	78	66	65	81	82
gene-ECD_01667	99	86	101	79	92	120
gene-ECD_01668	82	85	78	72	107	96
gene-ECD_01669	15	16	12	9	19	31
gene-ECD_01670	179	153	128	138	209	158
gene-ECD_01671	14652	6272	10198	11028	12618	9833
gene-ECD_01672	1794	1294	1393	1555	1528	1821
gene-ECD_01673	1159	904	824	877	994	1266
gene-ECD_01674	201	140	111	202	137	199
gene-ECD_01675	2596	1889	1755	2235	2057	2324
gene-ECD_01676	229	263	199	162	227	389
gene-ECD_01677	645	494	657	648	713	677
gene-ECD_01678	560	613	499	488	570	707
gene-ECD_01679	432	454	461	443	510	507
gene-ECD_01680	381	421	375	398	427	588
gene-ECD_01681	8241	7330	8574	8206	7675	9071
gene-ECD_01682	12105	7447	7301	9365	7260	10664
gene-ECD_01683	2350	2194	1644	1990	1676	2731
gene-ECD_01684	35	37	26	34	34	24
gene-ECD_01685	28785	15424	17708	22174	20487	23396
gene-ECD_01686	5681	5010	4101	4956	4397	5545
gene-ECD_01687	12838	11397	10613	12799	10558	13967
gene-ECD_01688	65670	46733	44594	47922	55466	60699
gene-ECD_01690	6	8	1	4	1	1
gene-ECD_01691	193	205	149	150	187	236
gene-ECD_01692	6960	5221	6601	6044	6276	6344
gene-ECD_01693	588	539	595	563	638	700
gene-ECD_01694	9698	5156	10001	8114	11005	6885
gene-ECD_01695	759	703	716	670	719	911
gene-ECD_01696	699	545	567	482	662	769
gene-ECD_01697	138	107	101	118	108	128
gene-ECD_01698	3025	946	1536	2223	1600	1566
gene-ECD_01699	17	13	13	14	13	8
gene-ECD_01700	23	15	16	7	9	18
gene-ECD_01701	775	418	571	452	537	479
gene-ECD_01702	219	182	179	162	261	259
gene-ECD_01703	69	53	47	69	87	90
gene-ECD_01704	158	129	115	121	151	149
gene-ECD_01705	13	24	22	23	14	22
gene-ECD_01706	57	49	60	49	74	69
gene-ECD_01707	130	160	124	93	167	149
gene-ECD_01708	687	586	801	677	756	678
gene-ECD_01709	6443	3934	5065	5121	5293	5150
gene-ECD_01710	1277	1242	1137	1089	1204	1390
gene-ECD_01711	157	196	146	143	163	238
gene-ECD_01712	132	177	180	161	149	173
gene-ECD_01713	63	45	102	31	56	70
gene-ECD_01714	123	96	180	83	127	113
gene-ECD_01715	150	99	227	72	140	147
gene-ECD_01716	265	125	383	121	290	233
gene-ECD_01717	218	124	308	95	224	149
gene-ECD_01718	966	735	809	764	850	928
gene-ECD_01719	55	70	59	66	69	86
gene-ECD_01721	36	33	32	31	44	52
gene-ECD_01722	71	42	37	43	56	58
gene-ECD_01723	255	231	192	202	193	247
gene-ECD_01724	112	97	76	72	79	128
gene-ECD_01725	161	113	116	143	121	174
gene-ECD_01726	449	409	416	316	403	451
gene-ECD_01727	200	193	203	168	211	231
gene-ECD_01728	36	48	44	35	47	45
gene-ECD_01729	82	67	66	73	89	84
gene-ECD_01730	5418	3813	4632	3909	4379	5360
gene-ECD_01731	225	271	203	157	236	285
gene-ECD_01732	3398	3608	3286	2622	4055	4144
gene-ECD_01733	8861	6621	8088	7053	9337	8675
gene-ECD_01734	2425	1714	2664	2305	2394	2073
gene-ECD_01735	3545	2895	2733	2875	2937	4336
gene-ECD_01736	574	542	426	401	559	621
gene-ECD_01737	579	515	462	553	571	663
gene-ECD_01738	58	63	54	50	93	78
gene-ECD_01739	372	146	299	282	359	185
gene-ECD_01740	43	29	32	42	33	33
gene-ECD_01741	47	28	50	47	35	43
gene-ECD_01742	89	47	44	50	49	76
gene-ECD_01743	103	58	84	79	109	70
gene-ECD_01744	86	50	56	52	68	80
gene-ECD_01745	177	128	167	147	216	151
gene-ECD_01746	3416	1377	2528	2161	2993	1591
gene-ECD_01747	2977	1141	2175	1902	2941	1404
gene-ECD_01748	270363	139824	176005	199633	187175	206469
gene-ECD_01749	8038	4546	5808	6472	5851	6242
gene-ECD_01750	746	823	639	650	710	850
gene-ECD_01751	4210	2156	2356	2817	2465	3168
gene-ECD_01752	605	468	542	474	741	760
gene-ECD_01753	66	55	57	50	70	61
gene-ECD_01754	6	11	8	8	13	14
gene-ECD_01755	124	112	91	107	119	151
gene-ECD_01756	720	616	628	680	659	784
gene-ECD_01757	117	134	110	89	172	224
gene-ECD_01758	275	321	280	240	303	429
gene-ECD_01759	244	288	260	215	271	318
gene-ECD_01760	158	243	150	188	192	294
gene-ECD_01761	602	780	721	572	746	799
gene-ECD_01762	294	246	265	274	256	327
gene-ECD_01763	2543	2129	1863	2003	2647	3289
gene-ECD_01764	124	138	110	112	132	169
gene-ECD_01765	13	8	10	4	7	9
gene-ECD_01766	12	6	7	9	19	12
gene-ECD_01767	0	0	0	0	0	0
gene-ECD_01768	167	119	121	135	162	202
gene-ECD_01769	647	381	607	526	941	529
gene-ECD_01770	347	270	367	222	294	285
gene-ECD_01771	35	33	37	36	69	49
gene-ECD_01772	65	78	55	58	74	83
gene-ECD_01773	73	98	91	80	84	125
gene-ECD_01774	273	327	264	219	276	400
gene-ECD_01775	530	389	555	369	557	486
gene-ECD_01776	588	578	497	495	619	631
gene-ECD_01777	413	463	328	326	437	552
gene-ECD_01778	1126	1052	875	819	960	1175
gene-ECD_01779	1025	471	823	899	704	751
gene-ECD_01780	119	78	130	122	128	152
gene-ECD_01781	89	110	108	114	118	118
gene-ECD_01782	542	556	412	442	510	680
gene-ECD_01783	359	323	324	325	340	393
gene-ECD_01784	5786	4153	5182	4628	6524	5341
gene-ECD_01785	206	221	164	164	227	274
gene-ECD_01786	1742	1697	1534	1307	1813	2150
gene-ECD_01787	72983	94331	71474	75620	103972	128783
gene-ECD_01788	33184	38589	35355	30235	51199	54179
gene-ECD_01789	28395	34698	33197	24088	46397	48174
gene-ECD_01790	698	884	891	635	1130	1166
gene-ECD_01791	162	248	132	127	209	279
gene-ECD_01792	685	571	507	540	830	750
gene-ECD_01793	6477	4627	5404	5412	7160	6936
gene-ECD_01794	93	51	71	125	113	156
gene-ECD_01795	165	195	141	207	166	305
gene-ECD_01796	27	20	17	32	17	24
gene-ECD_01797	24	39	28	20	28	46
gene-ECD_01798	1974	2139	2083	1995	2047	2670
gene-ECD_01799	168	203	125	150	147	219
gene-ECD_01800	1720	1390	1482	1504	1514	1955
gene-ECD_01801	4713	5471	3643	3752	4973	6316
gene-ECD_01802	4174	4260	3602	3315	3809	4793
gene-ECD_01803	1522	1473	1434	1396	1444	1783
gene-ECD_01804	783	782	687	734	807	1043
gene-ECD_01805	2198	2070	1750	1817	1849	2566
gene-ECD_01806	467	601	375	405	391	573
gene-ECD_01807	54	72	55	47	53	75
gene-ECD_01808	30	39	27	33	43	56
gene-ECD_01809	160	179	146	130	183	261
gene-ECD_01810	2043	2557	1858	1753	2215	3055
gene-ECD_01811	3315	4557	3075	2963	3578	6008
gene-ECD_01812	2509	2371	2375	2504	2523	3334
gene-ECD_01813	286	325	317	404	323	588
gene-ECD_01814	306	298	306	284	333	356
gene-ECD_01815	535	516	496	446	604	705
gene-ECD_01816	1783	1724	1508	1504	1629	2353
gene-ECD_01817	519	523	487	503	599	808
gene-ECD_01818	1396	1173	1269	1227	1164	1513
gene-ECD_01819	366	404	464	445	341	484
gene-ECD_01820	1048	949	941	965	1381	1376
gene-ECD_01821	6996	4876	6767	5481	7457	7148
gene-ECD_01822	18831	10619	16079	17503	19414	18088
gene-ECD_01823	8134	7662	7191	6306	7032	9964
gene-ECD_01824	2019	2118	1692	1803	2763	3189
gene-ECD_01825	11725	8844	10342	9116	13067	12406
gene-ECD_01826	1716	1566	1487	1381	1659	1820
gene-ECD_01827	1571	1991	1414	1417	1867	2298
gene-ECD_01828	1285	1164	963	999	1164	1690
gene-ECD_01829	1067	1121	1140	1048	1089	1389
gene-ECD_01830	547	592	510	528	638	755
gene-ECD_01831	2804	2531	2487	2313	2912	3292
gene-ECD_01832	2246	1859	2019	1988	2113	2760
gene-ECD_01833	30	29	33	30	38	38
gene-ECD_01834	1703	1015	1172	1409	990	1316
gene-ECD_01835	5786	2879	3243	4406	3568	4592
gene-ECD_01836	2220	1293	1279	1839	1545	2058
gene-ECD_01837	8061	5794	5240	6170	5770	7742
gene-ECD_01838	1126	865	914	935	949	1123
gene-ECD_01839	570	604	492	472	595	761
gene-ECD_01840	866	810	614	618	1060	1397
gene-ECD_01841	554	909	493	562	722	1004
gene-ECD_01842	1056	1232	1010	951	1062	1313
gene-ECD_01843	388	358	366	371	418	465
gene-ECD_01844	12	8	13	10	19	14
gene-ECD_01845	913	591	640	570	751	807
gene-ECD_01846	333	375	330	318	308	462
gene-ECD_01847	2065	1679	1425	1568	1553	2273
gene-ECD_01848	6	8	2	3	4	10
gene-ECD_01849	10	9	6	4	11	13
